Alumni-ID,Timestamp,Tahun Masuk,Tahun Wisuda,Status saat ini:,Waktu Mendapatkan Pekerjaan:,Tahun masuk saat anda melanjutkan studi setelah lulus dari Prodi Matematika:,Posisi anda saat ini di tempat bekerja saat Ini:,Nama Universitas dan Kota tempat melanjutkan Studi setelah S1,Nama jurusan/program studi setelah S1,Tahun saudara mulai berwirausaha:,Bidang wirausaha:,Kesesuaian Kurikulum:,Kesesuaian Bidang Ilmu:,Perkiraan rata-rata penghasilan (take-home-pay) anda per-bulan saat ini (dalam juta rupiah):
1,7/25/2023 9:55,2004,2010,ASN/PNS,Kurang dari 3 bulan.,2014,Guru Kelas,Universitas Terbuka,Pendidikan Guru Sekolah Dasar,,,3,3,4
2,7/26/2023 10:10,2015,2020,ASN/PNS,6-12 bulan,,,,,,,3,3,6
3,7/28/2023 2:00,2000,2006,ASN/PNS,Kurang dari 3 bulan.,S2 2008 dan S3 2020,Dosen,S2 UI dan S3 IPB,Magister Teknologi Informasi dan Doktoral Ilmu Komputer,,,5,5,5
4,7/27/2023 14:27,2014,2019,karyawan BUMN,6-12 bulan,,Officer HC Solution Analysis Support,,,,,3,3,8
5,7/25/2023 9:44,2013,2018,Karyawan Swasta,Kurang dari 3 bulan.,2021,Control Tower,ITS - Surabaya,Supply Chain,,,4,3,15
6,7/25/2023 9:46,2019,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Account Payable Accountant,,,,,4,1,6
7,7/25/2023 9:46,2009,2013,Karyawan Swasta,Kurang dari 3 bulan.,,Category Management,,,,,3,2,
8,7/25/2023 9:54,2018,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data analyst,,,,,3,5,5
9,7/25/2023 9:55,2016,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Business Analyst,,,,,5,5,7
10,7/25/2023 9:59,2017,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Junior Consultant,,,,,3,2,6
11,7/25/2023 10:00,2009,2015,Karyawan Swasta,Kurang dari 3 bulan.,-,Sekretaris Yayasan & Administrasi Kependidikan,-,-,-,-,5,3,5
12,7/25/2023 10:05,2004,2009,Karyawan Swasta,3-6 Bulan,,Operation Supervisor,,,,,4,4,6
13,7/25/2023 10:07,2018,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Staff accounting,,,,,4,2,7
14,7/25/2023 10:10,2016,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Market research consultant,,,,,4,3,6
15,7/25/2023 11:00,2011,2016,Karyawan Swasta,Kurang dari 3 bulan.,2016,Head of AI and Data Analytics,Universitas Indonesia,Matematika,,,4,4,65
16,7/25/2023 11:20,2017,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Data Management Intern,,,,,4,4,3
17,7/25/2023 14:18,2009,2013,Karyawan Swasta,3-6 Bulan,,KEUANGAN DAN GURU MATEMATIKA,,,,,4,4,4
18,7/25/2023 21:57,2019,2023,Karyawan Swasta,Kurang dari 3 bulan.,-,Penulis,-,-,-,-,3,2,5
19,7/26/2023 8:40,2015,2020,Karyawan Swasta,3-6 Bulan,,ELECTRONIC DATA PROCESSING,,,,,4,4,6
20,7/26/2023 9:52,2011,2015,Karyawan Swasta,3-6 Bulan,,RnD Officer,,,,,4,4,
21,7/26/2023 9:56,2003,2008,Karyawan Swasta,Kurang dari 3 bulan.,2008,PENGAJAR TETAP BIDANG STUDI MATEMATIKA,IIQ JAKARTA,AKTA 4,,,5,5,8.5
22,7/26/2023 9:59,2015,2019,Karyawan Swasta,Kurang dari 3 bulan.,2020,Data Scientist,IPB / Bogor,Statistika dan Sains Data,,,3,3,18
